"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"16.12.2022","1,0582","1,0626","1,0663","1,0584","96,98K","-0,41%"
"15.12.2022","1,0626","1,0683","1,0737","1,0592","96,30K","-0,52%"
"14.12.2022","1,0682","1,0633","1,0696","1,0618","93,43K","0,49%"
"13.12.2022","1,0630","1,0534","1,0674","1,0527","76,62K","0,90%"
"12.12.2022","1,0535","1,0528","1,0581","1,0506","72,91K","0,05%"
"09.12.2022","1,0530","1,0559","1,0589","1,0507","81,68K","-0,25%"
"08.12.2022","1,0556","1,0508","1,0566","1,0489","89,81K","0,49%"
"07.12.2022","1,0505","1,0469","1,0551","1,0443","102,17K","0,34%"
"06.12.2022","1,0469","1,0489","1,0533","1,0459","83,94K","-0,21%"
"05.12.2022","1,0491","1,0517","1,0596","1,0480","91,07K","-0,45%"
"02.12.2022","1,0538","1,0524","1,0546","1,0428","82,22K","0,15%"
"01.12.2022","1,0522","1,0407","1,0534","1,0393","108,31K","1,12%"
"30.11.2022","1,0405","1,0329","1,0430","1,0289","92,19K","0,76%"
"29.11.2022","1,0327","1,0340","1,0395","1,0319","75,18K","-0,10%"
"28.11.2022","1,0337","1,0382","1,0497","1,0330","78,44K","-0,56%"
"25.11.2022","1,0395","1,0409","1,0430","1,0354","70,18K","-0,12%"
"24.11.2022","1,0408","1,0398","1,0450","1,0381","68,51K","0,13%"
"23.11.2022","1,0395","1,0304","1,0405","1,0296","74,48K","0,90%"
"22.11.2022","1,0302","1,0243","1,0309","1,0239","79,18K","0,60%"
"21.11.2022","1,0241","1,0318","1,0334","1,0223","82,17K","-0,80%"
"18.11.2022","1,0324","1,0362","1,0396","1,0313","95,10K","-0,35%"
"17.11.2022","1,0360","1,0395","1,0408","1,0304","98,80K","-0,31%"